"","District","Income Streams","Cohort","Year","Amount"
"109","Control Rubanda...","Remit and Gifts Income","2021","12  months","15.257918999999999"
"110","Control Rubanda...","Rent Income","2021","12  months","6.7784319999999996"
"111","Control Rubanda...","Perennial Crop Income","2021","12  months","8.0116060000000004"
"112","Control Rubanda...","Seasonal Crop Income","2021","12  months","63.291609999999999"
"113","Control Rubanda...","Season1 Value","2021","12  months","129.452617"
"114","Control Rubanda...","Season2 Value","2021","12  months","119.184855"
"115","Control Rubanda...","Perennial Value","2021","12  months","9.7860080000000007"
"116","Control Rubanda...","Annual Agric Value","2021","12  months","258.42348099999998"
"117","Control Rubanda...","Livestock Income","2021","12  months","1.8145"
"118","Control Rubanda...","Livestock Income/ Production","2021","12  months","2.0800779999999999"
"119","Control Rubanda...","Livestock Value","2021","12  months","58.658822000000001"
"120","Control Rubanda...","PPI","2021","12  months","26.010413"
"121","Control Kibaale...","Salaried  Employment","2022","12  months","7.0286286000000002"
"122","Control Kibaale...","Self-Income / Business","2022","12  months","19.565565599999999"
"123","Control Kibaale...","Casual Labour Income","2022","12  months","61.184384399999999"
"124","Control Kibaale...","Remit and Gifts Income","2022","12  months","7.0206206"
"125","Control Kibaale...","Rent Income","2022","12  months","10.1181181"
"126","Control Kibaale...","Perennial Crop Income","2022","12  months","26.520320300000002"
"127","Control Kibaale...","Seasonal Crop Income","2022","12  months","100.6263263"
"128","Control Kibaale...","Season1 Value","2022","12  months","89.612724099999994"
"129","Control Kibaale...","Season2 Value","2022","12  months","75.554750799999994"
"130","Control Kibaale...","Perennial Value","2022","12  months","67.998878899999994"
"131","Control Kibaale...","Annual Agric Value","2022","12  months","233.1663538"
"132","Control Kibaale...","Livestock Income","2022","12  months","19.258618599999998"
"133","Control Kibaale...","Livestock Income/ Production","2022","12  months","27.295315299999999"
"134","Control Kibaale...","Livestock Value","2022","12  months","89.377577599999995"
"135","Control Kibaale...","PPI","2022","12  months","27.387407400000001"
"136","Control Kaliro...","Salaried  Employment","2022","12  months","24.612908600000001"
"137","Control Kaliro...","Self-Income / Business","2022","12  months","36.548088129999996"
"138","Control Kaliro...","Casual Labour Income","2022","12  months","47.902769300000003"
"139","Control Kaliro...","Remit and Gifts Income","2022","12  months","18.855929849999999"
"140","Control Kaliro...","Rent Income","2022","12  months","7.9149786300000002"
"141","Control Kaliro...","Perennial Crop Income","2022","12  months","0.67761806999999996"
"142","Control Kaliro...","Seasonal Crop Income","2022","12  months","62.356013099999998"
"143","Control Kaliro...","Season1 Value","2022","12  months","105.34795216000001"
"144","Control Kaliro...","Season2 Value","2022","12  months","50.61302791"
"145","Control Kaliro...","Perennial Value","2022","12  months","3.15306066"
"146","Control Kaliro...","Annual Agric Value","2022","12  months","159.11404073"
"147","Control Kaliro...","Livestock Income","2022","12  months","16.876630219999999"
"148","Control Kaliro...","Livestock Income/ Production","2022","12  months","19.7505411"
"149","Control Kaliro...","Livestock Value","2022","12  months","201.76508630000001"
"150","Control Kaliro...","PPI","2022","12  months","30.50698152"
"151","Control Kanungu...","Salaried  Employment","2018","24 months","18.52015950376606"
"152","Control Kanungu...","Self-Income / Business","2018","24 months","23.156476148279427"
"153","Control Kanungu...","Casual Labour Income","2018","24 months","109.94793974302171"
"154","Control Kanungu...","Remit and Gifts Income","2018","24 months","14.641116526362428"
"155","Control Kanungu...","Rent Income","2018","24 months","8.0593708462560922"
"156","Control Kanungu...","Perennial Crop Income","2018","24 months","61.281642298035742"
"157","Control Kanungu...","Seasonal Crop Income","2018","24 months","58.002953773445576"
"158","Control Kanungu...","Season1 Value","2018","24 months","61.660927484861915"
"159","Control Kanungu...","Season2 Value","2018","24 months","80.643405700782751"
"160","Control Kanungu...","Perennial Value","2018","24 months","166.58733089647023"
"161","Control Kanungu...","Annual Agric Value","2018","24 months","308.89166408211491"
"162","Control Kanungu...","Livestock Income","2018","24 months","28.801506424457244"
"163","Control Kanungu...","Livestock Income/ Production","2018","24 months","31.030866932506278"
"164","Control Kanungu...","Livestock Value","2018","24 months","127.55575247378526"
"165","Control Kanungu...","PPI","2018","24 months","29.64"
"166","Control Mitooma...","Salaried  Employment","2020","24 months","46.58"
"167","Control Mitooma...","Self-Income / Business","2020","24 months","73.930000000000007"
"168","Control Mitooma...","Casual Labour Income","2020","24 months","104.25"
"169","Control Mitooma...","Remit and Gifts Income","2020","24 months","34.840000000000003"
"170","Control Mitooma...","Rent Income","2020","24 months","3.18"
"171","Control Mitooma...","Perennial Crop Income","2020","24 months","74.680000000000007"
"172","Control Mitooma...","Seasonal Crop Income","2020","24 months","28.11"
"173","Control Mitooma...","Season1 Value","2020","24 months","60.3"
"174","Control Mitooma...","Season2 Value","2020","24 months","46.26"
"175","Control Mitooma...","Perennial Value","2020","24 months","226.06"
"176","Control Mitooma...","Annual Agric Value","2020","24 months","332.61"
"177","Control Mitooma...","Livestock Income","2020","24 months","14.32"
"178","Control Mitooma...","Livestock Income/ Production","2020","24 months","15.68"
"179","Control Mitooma...","Livestock Value","2020","24 months","108.41"
"180","Control Mitooma...","PPI","2020","24 months","26.14"
"181","Control Rubanda...","Salaried  Employment","2021","24 months","33.968321000000003"
"182","Control Rubanda...","Self-Income / Business","2021","24 months","20.732766999999999"
"183","Control Rubanda...","Casual Labour Income","2021","24 months","89.665025"
"184","Control Rubanda...","Remit and Gifts Income","2021","24 months","22.178117"
"185","Control Rubanda...","Rent Income","2021","24 months","8.8385680000000004"
"186","Control Rubanda...","Perennial Crop Income","2021","24 months","8.7317669999999996"
"187","Control Rubanda...","Seasonal Crop Income","2021","24 months","72.337288000000001"
"188","Control Rubanda...","Season1 Value","2021","24 months","153.175139"
"189","Control Rubanda...","Season2 Value","2021","24 months","127.755707"
"190","Control Rubanda...","Perennial Value","2021","24 months","30.763273000000002"
"191","Control Rubanda...","Annual Agric Value","2021","24 months","311.694119"
"192","Control Rubanda...","Livestock Income","2021","24 months","4.9812390000000004"
"193","Control Rubanda...","Livestock Income/ Production","2021","24 months","6.1624699999999999"
"194","Control Rubanda...","Livestock Value","2021","24 months","92.678482000000002"
"195","Control Rubanda...","PPI","2021","24 months","25.190895999999999"
"196","Control Kibaale...","Salaried  Employment","2022","24 months","9.0120996000000009"
"197","Control Kibaale...","Self-Income / Business","2022","24 months","20.682861200000001"
"198","Control Kibaale...","Casual Labour Income","2022","24 months","64.809234599999996"
"199","Control Kibaale...","Remit and Gifts Income","2022","24 months","9.0130266999999993"
"200","Control Kibaale...","Rent Income","2022","24 months","11.1492281"
"201","Control Kibaale...","Perennial Crop Income","2022","24 months","26.075286299999998"
"202","Control Kibaale...","Seasonal Crop Income","2022","24 months","102.83269199999999"
"203","Control Kibaale...","Season1 Value","2022","24 months","99.867711299999996"
"204","Control Kibaale...","Season2 Value","2022","24 months","88.644592299999999"
"205","Control Kibaale...","Perennial Value","2022","24 months","76.260952900000007"
