"","District","Income Streams","Cohort","Year","Amount"
"263","Rubanda...","Season1 Value","2022","Base","120.5"
"264","Rubanda...","Season2 Value","2022","Base","111.64"
"265","Rubanda...","Perennial Value","2022","Base","39.79"
"266","Rubanda...","Annual Agric Value","2022","Base","271.93"
"267","Rubanda...","Livestock Income","2022","Base","11.68"
"268","Rubanda...","Livestock Income/ Production","2022","Base","12.07"
"269","Rubanda...","Livestock Value","2022","Base","111.75"
"270","Rubanda...","PPI","2022","Base","28.47"
"271","Rubirizi...","Salaried Employment","2022","Base","8.26"
"272","Rubirizi...","Self-Income / Business","2022","Base","24.63"
"273","Rubirizi...","Casual Labour Income","2022","Base","67.61"
"274","Rubirizi...","Remit and Gifts Income","2022","Base","5.91"
"275","Rubirizi...","Rent Income","2022","Base","2.9"
"276","Rubirizi...","Perennial Crop Income","2022","Base","61.73"
"277","Rubirizi...","Seasonal Crop Income","2022","Base","56.97"
"278","Rubirizi...","Season1 Value","2022","Base","64.19"
"279","Rubirizi...","Season2 Value","2022","Base","63.44"
"280","Rubirizi...","Perennial Value","2022","Base","158.16"
"281","Rubirizi...","Annual Agric Value","2022","Base","285.79000000000002"
"282","Rubirizi...","Livestock Income","2022","Base","6.71"
"283","Rubirizi...","Livestock Income/ Production","2022","Base","7.42"
"284","Rubirizi...","Livestock Value","2022","Base","76.28"
"285","Rubirizi...","PPI","2022","Base","26.69"
"286","Kyenjojo...","Salaried Employment","2022","Base","7.22"
"287","Kyenjojo...","Self-Income / Business","2022","Base","17.63"
"288","Kyenjojo...","Casual Labour Income","2022","Base","66.91"
"289","Kyenjojo...","Remit and Gifts Income","2022","Base","6.03"
"290","Kyenjojo...","Rent Income","2022","Base","4.3499999999999996"
"291","Kyenjojo...","Perennial Crop Income","2022","Base","21.57"
"292","Kyenjojo...","Seasonal Crop Income","2022","Base","97.1"
"293","Kyenjojo...","Season1 Value","2022","Base","121.3"
"294","Kyenjojo...","Season2 Value","2022","Base","79.23"
"295","Kyenjojo...","Perennial Value","2022","Base","40.08"
"296","Kyenjojo...","Annual Agric Value","2022","Base","240.62"
"297","Kyenjojo...","Livestock Income","2022","Base","12.05"
"298","Kyenjojo...","Livestock Income/ Production","2022","Base","13.91"
"299","Kyenjojo...","Livestock Value","2022","Base","99.26"
"300","Kyenjojo...","PPI","2022","Base","29.16"
"301","Kagadi GAC...","Salaried Employment","2022","Base","2.64"
"302","Kagadi GAC...","Self-Income / Business","2022","Base","20.6"
"303","Kagadi GAC...","Casual Labour Income","2022","Base","44.54"
"304","Kagadi GAC...","Remit and Gifts Income","2022","Base","6.34"
"305","Kagadi GAC...","Rent Income","2022","Base","4.8600000000000003"
"306","Kagadi GAC...","Perennial Crop Income","2022","Base","19.73"
"307","Kagadi GAC...","Seasonal Crop Income","2022","Base","132.51"
"308","Kagadi GAC...","Season1 Value","2022","Base","125.94"
"309","Kagadi GAC...","Season2 Value","2022","Base","85.99"
"310","Kagadi GAC...","Perennial Value","2022","Base","37.29"
"311","Kagadi GAC...","Annual Agric Value","2022","Base","249.22"
"312","Kagadi GAC...","Livestock Income","2022","Base","15.67"
